"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
459,1000,"Gibbs","mu_1",0,0.000727396711989831,-0.129866310956952,0.134169281502945,1,53.143
459,1000,"Gibbs","mu_2",5,5.00691693996969,4.87872836751452,5.13609691484629,1,53.143
459,1000,"Gibbs","mu_3",10,10.0388970153218,9.90699235938965,10.1703240359868,1,53.143
459,1000,"Gibbs","mu_4",20,19.980218193913,19.8574667174606,20.1052658904969,1,53.143
459,1000,"VI","mu_1",0,0.00241948019668231,-0.126630568888228,0.131469529281593,1,0.0870000000000033
459,1000,"VI","mu_2",5,5.00825157307585,4.88850395405669,5.12799919209501,1,0.0870000000000033
459,1000,"VI","mu_3",10,10.0374508860531,9.91209132176727,10.162810450339,1,0.0870000000000033
459,1000,"VI","mu_4",20,19.98035839533,19.8580993330258,20.1026174576341,1,0.0870000000000033
