"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
126,1000,"Gibbs","mu_1",0,0.0451225763613125,-0.0835947148803764,0.172690333515327,1,52.763
126,1000,"Gibbs","mu_2",5,5.05346331529284,4.91338043860259,5.18934262312993,1,52.763
126,1000,"Gibbs","mu_3",10,10.0362506612935,9.91572662871478,10.1539242297852,1,52.763
126,1000,"Gibbs","mu_4",20,19.975350991311,19.8444003350418,20.1055815475266,1,52.763
126,1000,"VI","mu_1",0,-1.68813993573335e-16,-19.6,19.6,1,0.367000000000004
126,1000,"VI","mu_2",5,1.81627231426903,1.71952199116063,1.91302263737743,0,0.367000000000004
126,1000,"VI","mu_3",10,9.15201586799862,9.04763940704763,9.2563923289496,0,0.367000000000004
126,1000,"VI","mu_4",20,19.9761478827871,19.8488348874029,20.1034608781712,1,0.367000000000004
