"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
367,1000,"Gibbs","mu_1",0,0.109809957602836,-0.024510933101544,0.241087456537615,1,52.667
367,1000,"Gibbs","mu_2",5,5.01689711673936,4.87824913634297,5.15250421311453,1,52.667
367,1000,"Gibbs","mu_3",10,9.91279440132705,9.79141182378532,10.0338535754411,1,52.667
367,1000,"Gibbs","mu_4",20,20.0517407604474,19.9330283664456,20.1694017621173,1,52.667
367,1000,"VI","mu_1",0,-5.74715355937563e-17,-19.6,19.6,1,0.149999999999999
367,1000,"VI","mu_2",5,1.67857996135683,1.57640653651134,1.78075338620232,0,0.149999999999999
367,1000,"VI","mu_3",10,8.91973992535403,8.81644313190953,9.02303671879853,0,0.149999999999999
367,1000,"VI","mu_4",20,20.0511052008332,19.9322649291094,20.1699454725571,1,0.149999999999999
