"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
225,1000,"Gibbs","mu_1",0,0.0410481891267993,-0.0908935114465658,0.173515302720787,1,52.906
225,1000,"Gibbs","mu_2",5,5.0056509442784,4.87221075409705,5.13800230132248,1,52.906
225,1000,"Gibbs","mu_3",10,10.0272970555697,9.89767377815367,10.1568024528614,1,52.906
225,1000,"Gibbs","mu_4",20,19.9753481397725,19.8548465038147,20.0963819374345,1,52.906
225,1000,"VI","mu_1",0,-1.62550671927486e-16,-19.6,19.6,1,0.271000000000001
225,1000,"VI","mu_2",5,1.90575476840406,1.80918689583375,2.00232264097437,0,0.271000000000001
225,1000,"VI","mu_3",10,9.08383751206215,8.9762795210482,9.1913955030761,0,0.271000000000001
225,1000,"VI","mu_4",20,19.9754301760707,19.8529325685809,20.0979277835606,1,0.271000000000001
