"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
395,1000,"Gibbs","mu_1",0,0.0819439562955982,-0.053616146902036,0.218558547084959,1,53.143
395,1000,"Gibbs","mu_2",5,4.95690142796979,4.82705291035546,5.08510050711672,1,53.143
395,1000,"Gibbs","mu_3",10,10.0103319923117,9.8820681270096,10.1392387357214,1,53.143
395,1000,"Gibbs","mu_4",20,19.9427634847351,19.8232608822451,20.065398247624,1,53.143
395,1000,"VI","mu_1",0,0.0824529541571148,-0.0449499660422757,0.209855874356505,1,0.109999999999999
395,1000,"VI","mu_2",5,4.95744005134104,4.8365925475929,5.07828755508918,1,0.109999999999999
395,1000,"VI","mu_3",10,10.0091741358307,9.88326012337467,10.1350881482867,1,0.109999999999999
395,1000,"VI","mu_4",20,19.9413756741225,19.8193536440428,20.0633977042023,1,0.109999999999999
