"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
144,1000,"Gibbs","mu_1",0,-0.0220604686239181,-0.150858981163095,0.106098383001733,1,52.944
144,1000,"Gibbs","mu_2",5,5.09209829411395,4.95827592725376,5.22452784784268,1,52.944
144,1000,"Gibbs","mu_3",10,9.96097498226374,9.83087767670341,10.0927594106518,1,52.944
144,1000,"Gibbs","mu_4",20,20.016285418524,19.8916911313005,20.1394770124429,1,52.944
144,1000,"VI","mu_1",0,-0.0222135141873648,-0.145627214921974,0.101200186547244,1,0.0859999999999985
144,1000,"VI","mu_2",5,5.09137864526886,4.96751184588029,5.21524544465744,1,0.0859999999999985
144,1000,"VI","mu_3",10,9.95958543061081,9.83447410403087,10.0846967571908,1,0.0859999999999985
144,1000,"VI","mu_4",20,20.016119701398,19.8926537565791,20.1395856462169,1,0.0859999999999985
