"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
469,100,"Gibbs","mu_1",0,-0.406356256857008,-0.795859716791588,-0.014878550672113,0,5.168
469,100,"Gibbs","mu_2",5,4.83177381054565,4.29788273884283,5.36935702841802,1,5.168
469,100,"Gibbs","mu_3",10,10.0835696862779,9.69641871503878,10.4694865262254,1,5.168
469,100,"Gibbs","mu_4",20,20.2591802251868,19.8936393112145,20.6206574366287,1,5.168
469,100,"VI","mu_1",0,-1.61621344665455e-16,-19.6,19.6,1,0.0499999999999998
469,100,"VI","mu_2",5,-1.61621344665455e-16,-19.6,19.6,1,0.0499999999999998
469,100,"VI","mu_3",10,2.34600127366146,2.06632039775015,2.62568214957277,0,0.0499999999999998
469,100,"VI","mu_4",20,16.0330987529874,15.7583962847008,16.307801221274,0,0.0499999999999998
