"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
400,100,"Gibbs","mu_1",0,-0.16406847231263,-0.535334485658774,0.201521338808199,1,5.468
400,100,"Gibbs","mu_2",5,4.93354656032277,4.50739382488701,5.36314362011289,1,5.468
400,100,"Gibbs","mu_3",10,10.2850288631427,9.86246520785345,10.6983303271261,1,5.468
400,100,"Gibbs","mu_4",20,20.2883075452479,19.9263003787325,20.6527173976645,1,5.468
400,100,"VI","mu_1",0,-0.161331292872254,-0.531692889115648,0.20903030337114,1,0.0490000000000004
400,100,"VI","mu_2",5,4.9336222643123,4.50599649533429,5.36124803329031,1,0.0490000000000004
400,100,"VI","mu_3",10,10.2891846828365,9.88063339452051,10.6977359711524,1,0.0490000000000004
400,100,"VI","mu_4",20,20.2877501826189,19.9174111251407,20.658089240097,1,0.0490000000000004
