"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
136,100,"Gibbs","mu_1",0,-0.0318829370911316,-0.413731224306664,0.352449387604745,1,5.542
136,100,"Gibbs","mu_2",5,5.05534565586143,4.57231988431856,5.52660291903171,1,5.542
136,100,"Gibbs","mu_3",10,9.98326033261045,9.5926257633148,10.3793395501235,1,5.542
136,100,"Gibbs","mu_4",20,19.9838655415758,19.6001857950236,20.3723149683401,1,5.542
136,100,"VI","mu_1",0,-3.82448799656635e-19,-19.6,19.6,1,0.0510000000000002
136,100,"VI","mu_2",5,0.571545883814799,0.223849520150381,0.919242247479218,0,0.0510000000000002
136,100,"VI","mu_3",10,8.37785037748517,8.07628720720078,8.67941354776956,0,0.0510000000000002
136,100,"VI","mu_4",20,19.9839081695586,19.5995944440684,20.3682218950488,1,0.0510000000000002
