"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
298,100,"Gibbs","mu_1",0,-0.249189589358282,-0.668190009025847,0.152327816336644,1,5.508
298,100,"Gibbs","mu_2",5,4.75493335351617,4.31376593376393,5.18717872957549,1,5.508
298,100,"Gibbs","mu_3",10,10.1835581824841,9.79486881617198,10.5633157234167,1,5.508
298,100,"Gibbs","mu_4",20,20.0238925627409,19.6439501016543,20.4044915993998,1,5.508
298,100,"VI","mu_1",0,-4.14849784263163e-17,-19.6,19.6,1,0.0529999999999999
298,100,"VI","mu_2",5,1.91878555369744,1.62570490329261,2.21186620410226,0,0.0529999999999999
298,100,"VI","mu_3",10,9.90373799461006,9.54162027339935,10.2658557158208,1,0.0529999999999999
298,100,"VI","mu_4",20,20.0187755607293,19.6344618352391,20.4030892862195,1,0.0529999999999999
