"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
355,100,"Gibbs","mu_1",0,0.192114548534778,-0.215204431946408,0.598722819867647,1,5.534
355,100,"Gibbs","mu_2",5,5.26442075719668,4.79070181427457,5.72932227149662,1,5.534
355,100,"Gibbs","mu_3",10,9.69200884280428,9.28468059872446,10.0885076828168,1,5.534
355,100,"Gibbs","mu_4",20,20.0577279522794,19.7156069564718,20.395026592197,1,5.534
355,100,"VI","mu_1",0,0.194294242884226,-0.214495704839122,0.603084190607575,1,0.0499999999999998
355,100,"VI","mu_2",5,5.2666794661404,4.81615406225529,5.71720487002552,1,0.0499999999999998
355,100,"VI","mu_3",10,9.69682666635214,9.30572360973778,10.0879297229665,1,0.0499999999999998
355,100,"VI","mu_4",20,20.0619237277611,19.7207832061306,20.4030642493916,1,0.0499999999999998
