"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
286,10000,"Gibbs","mu_1",0,0.00827508188712376,-0.0317670584810734,0.0487654038853687,1,529.494
286,10000,"Gibbs","mu_2",5,4.98993028367851,4.94598959667328,5.03261274313741,1,529.494
286,10000,"Gibbs","mu_3",10,10.0129270278416,9.97398729708709,10.0529105044091,1,529.494
286,10000,"Gibbs","mu_4",20,19.9910376484158,19.9515888218158,20.0308640744826,1,529.494
286,10000,"VI","mu_1",0,-1.2232112251472e-15,-19.6,19.6,1,2.11900000000003
286,10000,"VI","mu_2",5,1.68149948565266,1.65059108679009,1.71240788451524,0,2.11900000000003
286,10000,"VI","mu_3",10,8.97238506713847,8.93914939087521,9.00562074340173,0,2.11900000000003
286,10000,"VI","mu_4",20,19.9912394834341,19.9520473997939,20.0304315670743,1,2.11900000000003
