"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
128,10000,"Gibbs","mu_1",0,0.0234407464549925,-0.0171157936320071,0.0644866490112301,1,526.583
128,10000,"Gibbs","mu_2",5,4.99516161332978,4.95311188371935,5.03632505513825,1,526.583
128,10000,"Gibbs","mu_3",10,10.0127839904963,9.97284868259632,10.0520154090613,1,526.583
128,10000,"Gibbs","mu_4",20,20.0231186748321,19.9830225225111,20.0626306852166,1,526.583
128,10000,"VI","mu_1",0,-3.88447586836908e-15,-19.6,19.6,1,2.20999999999992
128,10000,"VI","mu_2",5,1.88548406551939,1.85530907717121,1.91565905386757,0,2.20999999999992
128,10000,"VI","mu_3",10,9.09237010730343,9.05851625819453,9.12622395641233,0,2.20999999999992
128,10000,"VI","mu_4",20,20.0231043458108,19.9833356434851,20.0628730481365,1,2.20999999999992
