"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
421,10000,"Gibbs","mu_1",0,0.000663542257560767,-0.0411180582149148,0.0399641433110237,1,534.245
421,10000,"Gibbs","mu_2",5,5.00512681136182,4.96188359585899,5.04678079681171,1,534.245
421,10000,"Gibbs","mu_3",10,9.9719285369446,9.93065030642945,10.0121013114999,1,534.245
421,10000,"Gibbs","mu_4",20,19.9822827470734,19.9437793282675,20.0222742589857,1,534.245
421,10000,"VI","mu_1",0,-2.81102089714671e-16,-19.6,19.6,1,2.20400000000006
421,10000,"VI","mu_2",5,1.25215024083242,1.21945390108664,1.28484658057821,0,2.20400000000006
421,10000,"VI","mu_3",10,8.43410669743051,8.4026794517871,8.46553394307391,0,2.20400000000006
421,10000,"VI","mu_4",20,19.9822306584227,19.943163340135,20.0212979767104,1,2.20400000000006
