"sim_id","n","method","component","mu_true","estimate","lower","upper","covered","elapsed_seconds"
414,10000,"Gibbs","mu_1",0,-0.0188782746149426,-0.0599155346810266,0.0223600995042629,1,526.618
414,10000,"Gibbs","mu_2",5,5.02004180708796,4.97841085576593,5.06101626753392,1,526.618
414,10000,"Gibbs","mu_3",10,10.0067450234445,9.9651607363917,10.047086941588,1,526.618
414,10000,"Gibbs","mu_4",20,20.019460149818,19.9798114993175,20.0592556856864,1,526.618
414,10000,"VI","mu_1",0,-0.0185668720679232,-0.0577135243893283,0.0205797802534818,1,0.394000000000005
414,10000,"VI","mu_2",5,5.01983438742617,4.98084387618919,5.05882489866315,1,0.394000000000005
414,10000,"VI","mu_3",10,10.006893459742,9.96733804210304,10.046448877381,1,0.394000000000005
414,10000,"VI","mu_4",20,20.0196512073088,19.9805372416405,20.058765172977,1,0.394000000000005
