"iteration","elbo"
1,-377.678748977575
2,-362.402694182933
3,-361.400779936369
4,-361.162439334722
5,-361.103569902307
6,-361.088888466588
7,-361.085203517902
8,-361.084275298489
9,-361.084041052027
10,-361.083981882314
11,-361.08396692933
12,-361.08396314963
13,-361.083962194115
14,-361.083961952545
15,-361.08396189147
16,-361.083961876029
17,-361.083961872125
